x	y	w	h	content
928	492	148	57	NO.
1092	493	82	57	33
1746	491	134	57	NO.
1892	495	79	54	35
661	555	150	55	GOD
849	552	91	58	BE
983	551	180	59	WITH
1214	549	140	60	YOU
1476	552	219	57	HOME
1724	551	93	59	OF
1846	551	136	61	THE
2023	552	197	62	SOUL
754	614	150	59	TILL
940	613	104	59	WE
1079	613	205	59	MEET
1473	612	86	43	1-I
1568	613	82	44	will
1659	614	88	45	sing
1775	616	77	45	you
1883	617	26	44	a
1940	617	96	45	song
2066	619	50	44	of
2142	620	88	43	that
652	684	145	46	1-God
806	686	44	44	be
859	687	89	43	with
957	687	71	43	you
1036	688	63	42	till
1107	688	51	42	we
1166	688	98	42	meet
1273	688	136	42	again;
1567	666	186	41	beautiful
1761	664	108	44	land,
650	727	64	44	By
724	727	78	43	His
810	728	180	43	counsels
998	728	131	43	guide,
1138	728	150	45	uphold
1312	729	93	45	you,
1520	714	98	45	That
1627	716	69	44	far
1705	717	110	44	away
1832	718	116	44	home
1956	718	47	44	of
2011	718	68	44	the
2086	718	97	45	soul,
653	767	105	43	With
768	768	77	42	His
852	769	114	41	sheep
978	770	174	39	securely
1158	770	90	39	fold
1256	770	107	39	you;
1480	767	136	41	Where
1624	766	53	42	no
1701	766	141	44	storms
1851	767	92	44	ever
1968	768	95	45	beat
2086	770	49	44	on
2163	771	57	45	the
659	807	89	45	God
756	807	54	45	be
818	807	89	45	with
919	807	79	45	you
1010	808	68	44	till
1087	808	59	44	we
1157	808	110	43	meet
1287	808	115	43	again
1554	809	196	40	glittering
1764	807	134	43	strand
923	865	209	45	CHORUS.
1522	844	125	44	While
1655	847	70	42	the
1733	848	118	43	years
1859	850	47	42	of
1914	850	165	46	eternity
2087	850	93	49	roll.
1745	886	199	44	CHORUS
741	932	42	42	11
790	932	56	42	we
853	932	116	43	meet,
976	932	69	44	till
1052	933	59	43	we
1118	933	113	44	meet,
1478	923	26	42	I
1535	925	102	43	have
1670	928	146	42	anchor
1857	931	67	41	my
1955	932	97	41	soul
2072	931	42	43	in
2164	931	59	44	the
696	971	78	42	Till
781	972	58	42	we
846	973	103	41	meet
956	973	50	41	at
1014	974	132	40	Jesus'
1153	974	88	39	feet;
1555	970	125	38	haven
1701	970	49	38	of
1757	970	86	39	rest
695	1010	80	45	Till
782	1011	54	44	we
844	1011	115	44	meet,
967	1013	71	42	till
1046	1014	54	42	we
1107	1015	110	42	meet,
1477	1008	25	39	I
1517	1008	77	39	will
1601	1009	85	40	sail
1693	1009	65	41	the
1772	1010	95	41	wide
1876	1011	93	42	seas
1978	1013	53	42	no
2048	1014	112	44	more,
691	1049	90	46	God
789	1053	50	43	be
846	1054	88	43	with
944	1055	79	42	you
1033	1056	65	41	till
1105	1056	50	41	we
1162	1056	105	39	meet
1274	1054	117	39	again
1522	1045	75	43	The
1607	1048	165	44	tempest
1785	1053	90	41	may
1899	1055	119	39	sweep
2055	1056	85	37	o'er
2165	1054	58	42	the
679	1112	21	44	-
708	1112	85	45	God
801	1112	44	46	be
853	1112	91	46	with
952	1113	77	46	you
1036	1113	65	46	till
1109	1113	51	46	we
1167	1114	97	46	meet
1272	1115	129	45	again,
1558	1090	88	40	wild
1659	1091	145	41	stormy
1820	1094	106	41	deep,
669	1152	120	46	Neath
804	1154	76	45	His
889	1154	124	46	wings
1021	1155	171	45	securely
1200	1156	98	44	hide
1321	1157	74	43	you
1476	1126	48	43	In
1539	1127	117	44	Jesus
1680	1129	28	43	I
1716	1129	50	44	am
1793	1130	86	45	safe
1887	1131	69	46	for
1964	1132	94	47	ever
2069	1133	119	48	more,
649	1193	117	43	Daily
775	1195	139	43	manna
923	1197	87	41	still
1020	1198	163	41	provide
1193	1199	103	40	you;
1473	1185	113	45	2-0,
1595	1186	87	46	that
1691	1187	114	48	home
