x	y	w	h	content
250	556	138	63	NO.
402	557	114	62	20.
529	557	406	63	THOUGHTS
969	558	97	62	OF
1117	559	40	61	A
1187	559	393	63	GRATEFUL
1602	559	196	64	SOUL
480	629	201	60	UPON
740	629	138	62	THE
902	629	479	62	SUFFERINGS
1417	631	146	59	AND
694	703	232	58	DEATH
979	702	96	60	OF
1109	702	234	63	JESUS
667	784	142	47	Words
818	785	191	47	arranged
1017	786	60	47	by
1086	786	57	47	C.
1151	785	54	48	A.
1213	785	162	47	Tindley.
484	855	175	45	1-Come
667	856	117	45	every
801	857	72	45	one
881	858	89	44	that
978	858	115	44	loves
1100	858	67	44	the
1175	858	112	43	Lord,
522	898	74	41	Let
604	898	53	42	us
665	898	65	43	act
738	898	66	43	the
815	898	95	44	part
918	898	47	44	of
973	898	400	44	justice-Hallelujah.
482	939	73	41	Let
562	938	52	43	us
624	938	94	44	walk
725	938	70	44	the
806	938	219	45	self-denial
1033	939	101	44	road
523	978	45	42	In
580	978	70	42	the
659	979	84	42	way
758	979	45	42	of
812	980	185	42	suffering
1012	979	138	44	Jesus-
1162	979	223	44	Hallelujah,
482	1018	62	41	He
553	1018	83	42	was
643	1018	104	43	tried
757	1019	56	43	by
823	1019	167	44	Pontius
1002	1019	401	44	Pilate-Hallelujah,
525	1061	84	41	And
623	1062	81	41	was
712	1062	186	43	scourged
908	1063	55	42	by
977	1062	143	43	Romam
1147	1061	432	41	soldeirs-Hallelujah.
480	1129	52	44	2-
546	1129	89	45	And
643	1130	112	45	while
763	1130	52	45	he
823	1131	101	45	bore
937	1132	67	44	the
1012	1132	129	44	heavy
1152	1133	112	43	cross
478	1169	28	43	.
528	1170	114	43	Jesus
650	1172	73	41	fell
731	1173	159	41	beneath
903	1174	69	40	his
979	1173	414	43	burden-Hallelujah,
486	1208	97	46	That
590	1210	63	45	all
660	1211	68	45	the
736	1212	119	45	world
863	1213	47	44	of
918	1213	163	44	sinners'
1090	1213	93	43	loss
520	1253	130	42	Might
657	1255	152	41	receive
816	1256	28	40	a
856	1256	184	41	gracious
1047	1256	416	39	pardon-Hallelujah.
487	1291	96	43	Then
594	1292	91	43	they
695	1293	121	43	found
827	1294	28	42	a
865	1294	89	42	man
967	1294	140	42	named
1118	1294	162	42	Simon-
1288	1294	225	41	Hallelujah,
525	1333	89	44	And
624	1333	91	45	they
723	1333	117	45	made
847	1333	69	45	him
938	1333	91	45	help
1040	1333	105	45	King
1158	1333	371	43	Jesus-Hallelujah.
480	1401	156	47	3-And
643	1403	109	47	while
760	1404	54	46	he
821	1404	156	47	wagged
985	1405	56	46	up
1052	1405	181	46	Calvary,
523	1445	125	42	Hark!
657	1448	81	40	how
755	1449	68	40	the
834	1449	136	41	women
984	1449	98	41	were
1090	1449	400	38	crying-Hallelujah.
485	1485	100	43	They
596	1486	74	43	saw
684	1486	69	44	him
778	1486	119	44	going
906	1487	43	43	to
961	1487	88	44	that
1058	1488	104	43	tree,
523	1525	184	44	Precious
716	1528	117	42	Lamb
848	1528	67	43	for
926	1528	154	42	sinners
1091	1527	378	37	dying-Hallelujah.
485	1566	123	43	Don't
616	1567	77	43	you
706	1568	66	42	see
780	1568	104	42	your
892	1568	186	42	suffering
1094	1568	372	37	Jesus-Hallelujah,
524	1610	218	41	Answering
754	1609	67	42	the
835	1608	180	43	demands
1021	1607	49	43	of
1076	1607	397	38	justice-Hallelujah.
484	1677	214	46	4-Behold
708	1678	76	45	Him
811	1678	117	45	going
940	1678	45	45	to
994	1678	66	44	the
1069	1678	103	42	tomb
527	1718	55	43	To
592	1719	163	44	prepare
762	1720	70	43	the
839	1720	86	43	way
932	1720	70	42	for
1012	1719	387	39	dying-Hallelujah.
489	1758	100	44	They
610	1759	212	43	embalmed
829	1760	80	42	Him
930	1760	91	42	with
1034	1760	109	41	some
1149	1761	86	39	rich
1244	1761	178	37	perfume,
523	1799	125	43	'Twas
655	1801	68	42	the
732	1801	72	43	act
