x	y	w	h	content
760	641	102	64	No.
875	641	47	64	8.
1256	635	249	82	nothing
1547	637	233	82	Between.
800	725	122	42	Words
929	723	70	45	and
1012	723	111	46	Masic
1131	722	48	48	by
1191	723	47	48	C.
1248	723	49	48	A.
1307	723	188	49	TINDLEY.
1783	726	75	45	Arr.
1868	726	54	45	by
1932	726	50	45	F.
1993	726	44	45	A.
2048	727	125	44	CLARK.
845	935	48	42	1.
900	935	166	43	Noth-ing
1093	936	165	42	between
1282	936	64	42	my
1367	937	78	41	soul
1452	937	75	41	and
1535	937	66	41	the
1615	937	165	42	Sav-iour,
1788	937	140	42	Naught
1936	938	33	41	of
1977	938	72	41	this
2057	938	132	40	world's
2197	938	38	40	de
2243	938	6	40	-
847	973	44	43	2.
900	973	167	44	Noth-ing
1092	975	168	43	be-tween
1268	975	81	43	like
1374	976	112	43	world
1494	976	31	43	-
1542	977	42	42	ly
1600	977	188	42	pleas-ure,
1804	977	79	42	Hab
1890	977	15	42	-
1913	977	57	42	its
1996	977	49	42	of
2072	977	71	42	life
2178	977	65	42	tho'
845	1013	48	41	3.
901	1013	165	43	Noth-ing
1096	1015	168	43	be-tween;
1272	1016	77	42	like
1384	1016	101	42	pride
1539	1016	45	42	or
1624	1016	163	42	sta-tion,
1830	1015	77	42	Self
1978	1019	42	37	or
2033	1019	125	40	friends
2165	1018	95	44	shall
847	1056	46	42	4.
902	1056	165	43	Noth-ing
1095	1057	178	42	be-tween,
1282	1057	79	42	e'en
1370	1057	57	42	ma
1436	1057	13	42	-
1458	1057	49	42	ny
1515	1058	91	41	hard
1628	1058	47	42	tri
1683	1058	14	42	-
1705	1058	77	42	als,
1790	1058	86	42	Tho'
1884	1058	61	42	the
1952	1058	108	42	whole
2068	1059	108	41	world
2192	1059	28	41	a
2233	1059	15	41	-
795	1130	126	50	9:6
797	1340	32	47	O
921	1437	66	41	lus
1016	1437	26	41	-
1068	1437	57	42	ive
1134	1437	135	43	dream.
1307	1438	25	43	I
1357	1438	90	43	have
1456	1438	190	44	renounced
1656	1439	55	44	all
1753	1440	53	43	sin
1845	1440	23	43	-
1908	1441	60	42	ful
1978	1442	168	42	pleas-ure,
891	1481	160	38	harmless
1060	1480	82	39	they
1150	1479	112	41	seem,
1271	1479	94	41	Must
1374	1479	66	41	not
1456	1479	56	41	my
1522	1480	103	41	heart
1637	1480	73	41	from
1735	1481	68	41	Him
1831	1482	42	40	ev
1886	1483	22	39	-
1918	1483	41	39	er
1994	1484	60	39	sev
2064	1485	17	38	-
2092	1486	39	38	er,
901	1521	69	39	not
1002	1520	37	41	in
1050	1520	21	41	-
1079	1519	176	43	ter-vene,
1281	1518	88	45	Tho'
1383	1518	38	45	it
1437	1518	81	45	may
1529	1518	76	46	cost
1649	1518	58	46	me
1716	1519	100	45	much
1825	1519	66	45	trib
1900	1520	13	44	-
1922	1520	23	44	u
1967	1521	23	43	-
1999	1521	36	43	la
2044	1522	13	42	-
2066	1523	83	41	tion,
876	1565	107	37	gainst
992	1563	57	39	me
1069	1562	74	40	con-
1152	1561	101	41	vene;
1261	1560	174	43	Watching
1448	1559	79	44	with
1535	1559	113	44	pray'r
1656	1559	65	44	and
1729	1559	101	45	much
1838	1560	123	44	self-de
1971	1561	14	43	-
1993	1561	51	43	ni
2051	1561	24	44	-
2085	1562	56	43	al,
2182	1563	58	42	I'll
1838	1788	155	46	CHORUS.
917	1974	39	35	Je
963	1974	15	35	-
986	1974	61	36	sus
1083	1974	35	37	is
1145	1974	105	38	mine;
1258	1974	123	39	there's
1388	1974	155	41	nothing
1570	1975	170	41	be-tween.
906	2014	57	38	He
1006	2014	37	38	is
1076	2015	59	37	my
1166	2015	71	37	all,
1258	2015	124	38	there's
1391	2016	155	39	noth-ing
1570	2016	173	41	be-tween.
919	2055	24	36	I
990	2055	43	36	am
1083	2055	167	37	re-solved,
1258	2055	122	38	there's
1388	2055	155	39	noth-ing
1568	2055	181	41	be-tween.
1797	2032	173	44	Noth-ing
1985	2034	169	43	be-tween
2175	2036	54	43	my
907	2095	158	38	tri-umph
1081	2096	42	38	at
1158	2096	86	39	last,
1273	2096	79	40	with
1387	2097	154	38	noth-ing
1568	2097	167	36	be-tween.
898	2515	77	38	soul
983	2515	69	39	and
1070	2514	65	40	the
1150	2514	158	41	Sav-iour
1333	2514	47	41	So
1405	2514	83	42	that
1500	2514	60	42	His
1568	2514	102	43	bless-
1678	2515	47	43	ed
1733	2515	70	43	face
1810	2516	81	43	may
1898	2516	43	43	be
1948	2517	95	43	seen;
2050	2517	143	44	Nothing
2200	2519	61	42	pre-
863	2916	148	36	venting
1034	2915	60	38	the
1104	2915	89	39	least
1201	2914	40	41	of
1266	2914	65	42	His
1345	2914	132	43	fa-vor,
1494	2915	91	43	Keep
1594	2915	63	43	the
1665	2915	71	43	way
1743	2916	100	42	clear!
1851	2917	49	41	let
1907	2917	140	41	nothing
2061	2919	154	39	between.
1268	3136	177	44	Copyright
1455	3140	73	41	1905,
1538	3142	36	39	C.
1584	3142	38	39	A.
1632	3143	127	38	Tindley.
