x	y	w	h	content	
384	237	51	25	378	
937	226	84	26	THE	
1041	221	222	29	HEAVENLY	
1282	221	121	26	PORT.	
1476	222	34	26	Cc.	
1531	222	41	25	M.	
893	274	70	16	“Thine	
973	278	44	15	eyes	
1024	271	46	17	shall	
1080	268	67	18	behold	
1158	269	29	16	the	
1197	268	42	16	land	
1250	268	38	16	that	
1298	268	14	15	is	
1323	273	45	15	very	
1378	268	26	15	far	
1414	268	47	15	off.’"	
1478	266	41	17	Psa.	
1529	267	59	16	33:17.	
1393	296	26	20	By	
1428	296	33	15	Eld	
1472	295	84	16	Edmund	
1564	296	77	17	Dumas,	
1652	296	48	20	Aug.	
1710	296	17	18	8,	
1740	295	51	16	1859.	
1819	295	41	15	Alto	
1869	293	25	21	by	
1902	293	21	15	S.	
1934	292	26	15	M.	
1969	290	80	19	Denson,	
2061	290	42	18	1911.	
373	312	77	17	Samuel	
462	312	79	17	Stenett,	
555	311	48	16	1787.	
619	310	39	18	Key	
669	309	18	16	of	
697	313	11	11	a	
718	308	64	19	Major.	
401	335	34	9	are	
696	728	55	18	reach	
761	728	37	17	that	
816	727	60	20	happy	
883	726	51	21	place	
945	724	40	17	And	
998	724	23	16	be	
1042	723	27	16	for	
1079	731	6	2	-	
1095	727	22	11	ev	
1126	730	7	2	-	
1143	726	19	11	er	
1187	720	53	18	blest,	
1161	815	96	23	==	
1418	818	13	1	a	
1450	819	15	2	a	
1597	817	45	2	nara	
1710	817	44	1	REE	
1148	837	23	26	nd	
1180	835	91	21	appendix	
1281	837	19	17	of	
1311	837	31	18	the	
1354	836	84	18	‘‘Sacred	
1449	835	71	21	Harp.”	
1547	835	61	16	Dumas	
1610	833	97	18	assisted	
1715	835	19	15	in	
1743	834	83	20	revising	
1835	832	31	17	the	
1885	831	85	18	“Sacred	
1978	831	54	21	Harp,	
2046	833	17	15	at	
2075	835	28	12	one	
2133	837	87	12	—4,_——	
1147	860	40	16	died	
1198	859	36	17	and	
1243	859	64	20	burjed	
1316	866	19	12	at	
1345	860	83	22	Forsyth,	
1440	860	77	16	Monroe	
1533	861	75	18	county,	
1618	856	36	19	Ga.	
1680	858	37	16	See	
1726	856	53	17	other	
1789	856	87	17	sketches	
1885	856	18	16	of	
1912	855	38	17	him	
1960	855	98	17	connected	
2069	853	35	18	with	
2133	847	30	43	a	
428	848	46	17	This	
483	851	42	14	tune	
534	853	38	11	was	
580	845	100	22	composed	
688	845	23	20	by	
721	844	53	16	Elder	
784	841	85	17	Edmund	
880	841	71	16	Dumas	
964	839	48	18	1859,	
1024	839	26	16	for	
1062	838	31	17	the	
1102	842	42	12	seco	
383	874	44	15	time	
437	873	23	16	he	
468	877	39	11	was	
517	877	11	10	a	
537	871	94	16	Primitive	
641	869	69	20	Baptist	
721	868	90	16	Minister,	
822	866	90	16	musician	
923	864	17	16	of	
949	862	127	18	considerable	
1087	863	47	15	note;	
382	896	29	16	his	
422	899	53	13	tunes	
484	897	17	14	in	
512	895	36	16	this	
557	894	79	16	volume.	
1072	904	177	29	EUREKA.	
1322	900	35	27	L.	
1377	900	40	27	M.	
2133	909	87	2	Bri	
855	946	55	17	“And	
921	946	43	21	they	
971	950	48	11	were	
1028	943	68	22	judged	
1104	947	55	16	every	
1172	946	43	12	man	
1226	939	100	20	according	
1335	940	18	14	to	
1364	937	46	16	their	
1419	935	82	17	works.”	
1527	935	46	16	Rev.	
1584	934	63	17	20:13.	
2141	938	16	18	\	
1280	963	27	21	By	
1319	962	14	22	J.	
1345	961	20	16	P.	
1377	960	66	16	Reese.	
1470	958	146	22	Campmeeting	
1625	963	63	16	songs,	
1698	962	48	17	page	
1755	957	40	16	204.	
1820	956	42	17	Alto	
1872	956	25	21	by	
1906	954	134	19	S.M.Denson,	
2051	953	43	17	1911.	
2132	951	18	11	=	
384	978	41	21	Key	
434	978	18	16	of	
462	976	15	17	A	
489	977	64	16	Minor.	
1264	1103	31	17	Na	
1307	1112	8	3	-	
1326	1102	37	17	ked	
1379	1106	32	16	my	
1420	1100	40	17	soul	
1470	1099	36	17	will	
1514	1098	54	18	stand	
1577	1098	64	17	before	
1661	1098	16	16	A	
1691	1097	40	17	God	
1741	1096	54	18	that’s	
1802	1096	23	17	ho	
1832	1097	37	18	-ly,	
1877	1101	45	16	pure	
1929	1100	23	12	and	
1954	1095	60	21	just.	
1331	1129	17	14	to	
1373	1125	31	17	the	
1413	1124	69	17	realms	
1491	1123	18	16	of	
1528	1123	59	21	glo-ry	
1599	1127	28	16	go,	
1652	1121	25	17	Or	
1702	1122	17	15	in	
1733	1120	55	17	hell’s	
1798	1123	89	14	torments	
1897	1124	50	12	ev—er	
1949	1118	62	17	live.	
1520	1144	21	20	£	
1739	1149	18	2	E	
1929	1097	291	68	2	
1446	1153	80	74	te	
1561	1200	21	1	=	
1621	1150	179	75	sere	
1850	1142	293	87	=F	
1665	1250	86	16	Howe’er	
1763	1254	21	12	so	
1798	1248	66	17	mor-al	
1873	1247	44	17	here	
1926	1252	27	11	we	
1961	1246	23	17	be	
472	1117	37	16	Soon	
512	1115	54	17	will	
576	1115	35	16	this	
618	1112	73	18	mor-tal	
701	1112	30	16	life	
752	1112	22	15	be	
788	1110	44	19	o’er,	
842	1110	44	16	This	
911	1109	56	21	bod-y	
977	1107	108	18	mould-er	
1110	1108	33	15	in-	
1153	1110	17	12	to	
1190	1105	47	17	dust;	
485	1140	25	16	Its	
519	1138	86	20	standing	
612	1137	53	16	doom	
674	1142	9	10	of	
686	1136	55	15	bliss	
750	1140	20	10	or	
783	1139	45	13	woe,	
839	1132	41	17	Will	
894	1133	46	16	from	
952	1132	29	17	the	
991	1134	51	19	great	
1067	1130	6	17	I	
1100	1136	30	11	am	
1151	1130	70	16	re-ceiv	
684	1164	73	1	=	
856	1152	256	20	SN	
761	1160	361	68	ae	
454	1267	16	16	3.	
496	1265	111	17	Withoutan	
620	1265	71	16	int’rest	
712	1264	17	15	in	
756	1261	30	17	the	
795	1261	54	17	blood	
857	1261	24	17	Of	
917	1261	66	16	Je-sus	
992	1260	45	17	shed	
1054	1265	23	11	on	
1090	1258	45	18	Cal-	
1145	1263	60	16	va-ry,	
1260	1256	35	17	We	
1320	1254	51	18	can’t	
1381	1259	68	16	escape	
1473	1252	29	17	his	
1510	1251	97	22	venge-ful	
1617	1250	37	19	rod,	
505	1290	53	16	A-way	
559	1288	88	22	thenall	
657	1285	188	22	self-righteousness!	
862	1285	31	21	My	
902	1286	39	15	soul	
949	1285	47	15	from	
1005	1287	51	13	natur	
1268	1280	26	16	Be	
1327	1278	106	22	jus-ti-fied	
1440	1278	24	20	by	
1473	1277	44	16	faith	
1571	1276	2	5	.	
1536	1277	31	15	hro’	
1587	1280	55	16	grace.	
507	1335	4	1	=	
555	1334	3	1	5	
1000	1314	17	17	5	
1301	1308	30	2	N	
1390	1307	56	25	eo	
1634	1303	3	2	2	
490	1319	47	65	=	
647	1317	146	62	eee	
